FIRST NAME,LAST NAME,ETHNICITY,GENDER,BILINGUAL,VETERAN,MEDICAL SCHOOL,MCAT,STEP 1 EXAM PASSED,STEP 2 EXAM PASSED,STEP 3 EXAM PASSED,RESIDENCY MATCHED,RESIDENCY COMPLETED,BOARD CERTIFIED SPECIALTY,NUMBER OF BOAD CERTIFICATIONS,YEARS OF ACTIVE PRACTICE,YOP SCORE,COMPOSITE SCORE,CURRENTLY ACTIVE
JOHN,SMITH,WHITE,MALE,NO,YES,New York University (Langone),503,3,2,1,3,2,1,3,4,1,519,YES
WILLIAM,LEWIS-TUCKER,WHITE,MALE,NO,NO,Dartmouth College (Geisel),495,3,2,1,0,0,0,3,0,0,504,NO
TYLER,BAILES,WHITE,MALE,NO,NO,University of Pennsylvania (Perelman),515,3,2,1,0,0,0,3,0,0,524,NO
BRIAN,NEWMAN,WHITE,MALE,NO,NO,Columbia University,521,3,2,1,3,2,1,4,8,2,539,YES
THOMAS,VITTEL,WHITE,MALE,YES,NO,Johns Hopkins University,523,3,2,1,3,2,1,4,9,2,541,YES
ADAM,KUPP,WHITE,MALE,NO,YES,University of Wisconsin--Madison,497,3,2,1,3,2,1,4,4,1,514,YES
DAVID,McCORMICK,WHITE,MALE,NO,NO,University of Chicago (Pritzker),519,3,2,1,3,2,1,4,19,4,539,NO
ZACHARY,CAPRIOTTI,WHITE,MALE,YES,NO,Rush University,513,3,2,1,3,2,1,4,15,4,533,YES
DAVID,YU,ASIAN,MALE,NO,NO,Rutgers New Jersey Medical School--Newark,518,3,2,1,3,2,1,4,10,3,537,YES
FRED,THOMAS,WHITE,MALE,NO,NO,University of Miami (Miller),499,3,2,1,3,2,1,4,12,3,518,YES
JACK,MUNTZ,WHITE,MALE,YES,NO,University of Michigan--Ann Arbor,521,3,2,1,3,2,1,4,4,1,538,YES
QUINN,RUIZ,WHITE,MALE,NO,NO,University of Illinois,507,3,2,1,3,2,1,4,5,2,525,YES
JONATHAN,BAPTISTE,BLACK,MALE,YES,YES,Howard University,500,3,2,1,3,2,1,4,7,2,518,YES
JEFF,CHAMBERS,WHITE,MALE,NO,NO,Tulane University,516,3,2,1,0,0,0,3,0,0,525,NO
DAVID,GONZALEZ,HISPANIC,MALE,YES,NO,University of Hawaii--Manoa (Burns),521,3,2,1,3,0,0,3,3,1,534,YES
MIGUEL,PRADO,HISPANIC,MALE,NO,NO,University of Nebraska Medical Center,504,3,2,1,3,2,1,4,11,3,523,YES
MANUEL,GARCIA,HISPANIC,MALE,YES,YES,University of Southern California (Keck),509,3,2,1,3,2,1,4,9,2,527,YES
